SalesId,SalesPrice
1227829,18003.0
1227844,19232.0
1227847,47760.0
1227848,47235.0
1227863,50914.0
1227870,27066.0
1227871,23660.0
1227879,13935.0
1227880,20877.0
1227881,28615.0
1227882,37115.0
1227883,41490.0
1227885,31840.0
1227886,34525.0
1227887,23760.0
1227888,23170.0
1227905,23435.0
1227910,37780.0
1227911,29800.0
1227912,43460.0
1227913,22915.0
1227914,27595.0
1227917,13960.0
1227918,27100.0
1227920,20050.0
1227924,29175.0
1227925,22905.0
1227930,18105.0
1227933,16700.0
1227942,16679.0
1227949,29725.0
1227972,14922.0
1227976,32808.0
1227977,11962.0
1227979,42295.0
1227980,15710.0
1227988,19035.0
1227990,17500.0
1227991,18035.0
1227992,22633.0
1227994,30064.0
1227997,18645.0
1228007,32175.0
1228012,48765.0
1228019,61170.0
1228031,21604.3
1228040,48060.0
1228042,19270.0
1228046,16825.0
1228049,33445.0
1228050,35020.0
1228056,18445.0
1228061,20375.0
1228065,8533.0
1228069,8825.0
1228071,57870.0
1228072,55840.0
1228075,27235.0
1228076,27525.0
1228089,36365.0
1228104,17765.0
1228105,46545.0
1228107,31870.0
1228113,43205.0
1228117,30990.0
1228119,42460.0
1228122,46620.5
1228123,62160.0
1228124,8354.0
1228129,34140.0
1228130,42070.0
1228131,41135.0
1228134,36460.0
1228135,29526.0
1228136,27307.0
1228142,14613.0
1228145,43900.0
1228149,22246.0
1228150,28396.0
1228152,35375.0
1228153,18039.0
1228155,6679.0
1228156,40025.0
1228157,43905.0
1228158,30150.0
1228160,24555.0
1228161,26001.6
1228168,21445.0
1228179,22470.0
1228182,22910.0
1228183,18295.0
1228188,44005.0
1228192,23130.0
1228195,26190.0
1228197,49954.0
1228198,20160.0
1228200,12735.0
1228203,22055.0
1228214,50911.0
1228217,23116.6
1228219,39290.0
1228222,10610.0
1228225,10360.0
1228228,11090.0
1228229,12056.0
1228231,13012.0
1228236,12737.6
1228237,11669.0
1228238,20555.0
1228244,14690.0
1228245,26730.0
1228247,22801.0
1228248,16067.0
1228253,18523.0
1228254,12322.0
1228256,26175.0
1228265,15939.0
1228270,28595.0
1228277,25065.0
1228287,67280.0
1228288,35755.0
1228289,17835.0
1228290,21785.0
1228291,19015.0
1228292,35965.28
1228293,34049.0
1228305,39240.0
1228314,30065.0
1228315,59670.0
1228320,18913.0
1228326,26145.0
1228328,22308.0
1228329,17488.0
1228330,29607.0
1228332,45910.0
1228333,23407.0
1228345,18895.0
1228351,17126.8
1228352,26365.0
1228353,11034.0
1228354,33890.28
1228356,36355.0
1228357,10408.0
1228359,30690.0
1228360,35405.0
1228361,28685.0
1228362,27539.0
1228364,24200.0
1228365,34120.0
1228367,30710.0
1228368,29095.0
1228369,8083.0
1228371,21155.0
1228374,21191.6
1228375,11532.0
1228376,22205.0
1228380,16340.0
1228381,20070.0
1228384,12610.0
1228385,13050.0
1228386,11575.0
1228387,12510.0
1228389,11435.0
1228391,22170.0
1228394,25184.3
1228395,18906.8
1228400,41750.0
1228401,31215.0
1228402,29670.0
1228403,40025.28
1228404,46625.0
1228406,11835.0
1228411,27390.0
1228415,39235.0
1228416,42365.0
1228421,22805.0
1228422,49665.0
1228424,20232.0
1228426,23340.0
1228429,22879.0
1228430,22765.0
1228437,40490.0
1228438,12607.0
1228439,27018.0
1228442,67570.0
1228494,13142.0
1228496,24092.0
1228498,40130.0
1228499,44170.0
1228503,31470.0
1228506,11830.0
1228508,14125.0
1228509,19200.0
1228510,14747.0
1228518,11019.0
1228519,31177.0
1228524,11537.0
1228525,35145.0
1228533,37675.0
1228535,60800.0
1228536,60340.0
1228542,12197.0
1228553,38040.0
1228561,15380.0
1228562,37755.0
1228568,21118.0
1228569,30980.0
1228570,42540.0
1228572,43305.0
1228573,26497.0
1228575,35445.0
1228579,22195.0
1228582,23160.0
1228583,38850.0
1228586,39415.0
1228590,46005.0
1228591,59470.0
1228593,44520.0
1228594,55670.0
1228595,20865.0
1228598,24220.0
1228604,15845.0
1228605,39120.0
1228606,28552.0
1228618,8287.0
1228619,25227.0
1228622,14885.0
1228623,28785.0
1228627,21109.0
1228628,28729.0
1228629,26809.0
1228630,26306.0
1228631,29528.0
1228633,28640.0
1228634,22500.0
1228635,24877.0
1228640,24139.0
1228641,29635.0
1228642,20474.0
1228643,22032.0
1228648,20960.0
1228649,28931.0
1228650,13205.0
1228654,50910.0
1228658,29102.0
1228659,39990.0
1228660,24995.0
1228669,14272.0
1228670,13715.0
1228672,24404.0
1228674,16225.0
1228675,24473.0
1228678,20265.0
1228681,25562.0
1228682,29119.0
1228683,26000.0
1228684,29079.0
1228685,27206.0
1228699,28214.0
1228700,24035.0
1228702,46570.0
1228703,31085.0
1228706,31895.0
1228714,48190.0
1228724,27290.0
1228727,9717.0
1228730,35500.0
1228731,16729.0
1228733,17891.0
1228734,20389.0
1228735,19447.0
1228736,20363.0
1228737,44510.0
1228738,56070.0
1228744,8044.0
1228746,10420.0
1228750,48110.0
1228751,25435.0
1228757,34255.0
1228759,29650.0
1228760,34350.0
1228761,36955.0
1228762,27517.0
1228763,39765.0
1228764,34985.0
1228776,38852.0
1228779,25190.0
1228781,34410.0
1228785,27213.0
1228788,27680.0
1228789,22833.0
1228794,40120.0
1228795,40520.0
1228809,31024.0
1228816,22627.0
1228818,17160.0
1228822,18170.0
1228824,24876.0
1228829,20225.0
1228831,27701.0
1228833,29470.0
1228835,24780.0
1228837,28315.28
1228846,29958.0
1228847,44180.0
1228850,22123.0
1228854,25228.0
1228858,28260.0
1228859,41770.0
1228863,43575.0
1228865,29231.0
1228866,40540.0
1228867,32790.28
1228871,45515.0
1228872,42446.0
1228874,12677.0
1228876,16317.0
1228877,16342.0
1228878,16362.0
1228879,13315.0
1228881,20164.0
1228888,7697.0
1228890,19361.0
1228894,11875.0
1228896,10352.0
1228899,24171.6
1228902,40405.0
1228907,57020.0
1228914,22430.0
1228919,25040.0
1228922,10623.0
1228924,26668.0
1228926,22922.0
1228929,37630.0
1228933,70055.0
1228935,10336.0
1228936,10253.0
1228940,37510.0
1228946,47570.0
1228951,32130.0
1228952,29235.0
1228953,49855.0
1228969,43670.0
1228985,25345.0
1228994,29305.0
1228995,22390.0
1228996,13300.0
1228997,13090.0
1228998,29895.0
1228999,22140.0
1229003,17970.0
1229004,18255.0
1229005,18120.0
1229006,37125.0
1229007,24880.0
1229008,15960.0
1229009,16065.0
1229017,20790.0
1229025,25415.0
1229027,18929.0
1229028,32320.0
1229043,14131.0
1229047,19250.0
1229049,17515.0
1229052,22130.0
1229053,21980.0
1229054,24475.0
1229055,27625.0
1229057,36910.0
1229065,37545.0
1229080,12477.0
1229083,22644.0
1229086,39000.0
1229087,28185.0
1229092,28113.0
1229096,20240.0
1229099,24655.0
1229100,39420.0
1229101,34295.0
1229102,64920.0
1229103,28113.0
1229104,13950.0
1229105,29875.0
1229112,24265.0
1229114,41806.0
1229119,42315.0
1229128,20873.0
1229129,29710.0
1229133,49810.0
1229135,55720.0
1229137,25760.0
1229138,34990.0
1229139,10957.0
1229140,48340.0
1229142,12969.0
1229143,13073.0
1229148,10547.0
1229150,62930.0
1229220,8497.0
1229223,41415.0
1229227,30920.0
1229236,38700.0
1229241,18130.0
1229242,22080.0
1229257,36535.0
1229262,20515.0
1229289,17867.0
1229290,25900.0
1229291,12830.0
1229292,18817.0
1229293,19297.0
1229295,13405.0
1229296,17102.0
1229300,49095.0
1229314,54775.0
1229315,39360.0
1229316,21990.0
1229321,16094.0
1229322,21980.0
1229323,23930.0
1229324,22289.0
1229329,22040.0
1229331,20950.0
1229336,44485.0
1229337,57190.0
1229338,42070.0
1229344,21181.0
1229353,30800.0
1229368,18735.0
1229372,17890.0
1229387,9665.0
1229388,12736.0
1229395,46765.0
1229396,59010.0
1229397,32540.0
1229399,35175.0
1229402,9261.0
1229403,9311.0
1229409,48325.0
1229415,53120.0
1229422,37429.56
1229425,12652.0
